type,question_number,question,option_A,option_B,option_C,option_D,correct_answer,answer_text
essay,2,"+ 0.5 (1) , where the expected inflation is . Thus, if = 7% , then the fed funds rate should be set to 7 + 2 + 0.5(5) + 0.5 = 12% . b. Suppose half of the Fed economists forecast inflati on to be 6%, and half of Fed economists forecast inflation to be 8%. If the Fed uses the average of these two forecasts as its measure of expected inflation, the n at what target should the fed funds rate be set according to the Taylor rule? If the measure of expected inflation is the average of the two forecasts, then = 0.5 (6% + 8%) = 7% . In this case, the Taylor rule would again imply a setting of the fed funds rate of 12%. c. Now suppose half of the Fed economists forecast inf lation to be 0%, and half forecast inflation to be 14%. If the Fed uses the a verage of these two forecasts as its measure of expected inflation, then at what tar get should the fed funds rate be set according to the Taylor rule? If the measure of expected inflation is the average of the two forecasts, then = 0.5 (0% + 14%) = 7%. In this case, = the Taylor rule would again imply a setting of the fed funds rate of 12%. d. Given your",,,,,,"s to parts (a)–(c) above, do you t hink it is a good idea for monetary policymakers to use a strict interpretatio n of the Taylor rule as a basis for setting policy? Why or why not? Probably not. The Taylor rule doesn't take into acc ount the possibility of a wide variation in forecasts. ANSWERS TO DATA ANALYSIS PROBLEMS 1. Go to the Bank of Albania’s exchange rate database (https://www.bankofalbania.org/Markets/Official_exc hange_rate/), and find data on the exchange rate of Albanian Lek (ALL) per Euros ( EUR). A Volkswagen Golf can be purchased in Frankfurt, Germany, for €18,000 or in Tirana, Albania, for ALL 2,268,000. a. Use the most recent exchange rate available to calc ulate the real exchange rate of the Frankfurt VW Golf per Tirana VW Golf. b. Based on your answer to part (a), are Volkswagen Go lfs relatively more expensive in Frankfurt or in Tirana. c. What price in Albanian Lek would make the Volkswage n Golf equally expensive in both locations, all else being equal? 2. Go to the St. Louis Federal Reserve FRED database a nd find data on the personal consumption expenditure price index (PCECTPI), real GDP (GDPC1), an estimate of potential GDP (GDPPOT), and the federal funds rate (FEDFUNDS). For the price index, adjust the units setting to “Percent Change From Year Ago” to convert the data to the inflation rate; for the federal funds r ate, change the frequency setting to “Quarterly.” Download the data into a spreadsheet. Assuming the inflation target is 2% and the equilibrium real fed funds rate is 2%, c alculate the inflation gap and the output gap for each quarter, from 2000 until the mo st recent quarter of data available. Calculate the output gap as the percenta ge deviation of output from the potential level of output. a. Use the output and inflation gaps to calculate, for each quarter, the fed funds rate predicted by the Taylor rule. Assume that the weigh ts on inflation stabilization and output stabilization are both ½ (see the formul a in the chapter). Compare the current (quarterly average) federal funds rate to t he federal funds rate prescribed by the Taylor rule. Does the Taylor rule accurately predict the current rate? Briefly comment. For the most recent period in 2020:Q2, the federal funds rate is 0.06%, while the Taylor rule predicts –3.34%, underrepresenting actu al policy by a gap of 3.4 percentage points. Compared to other significant de viations, this is a fairly large departure from the baseline Taylor rule. b. Create a graph that compares the predicted Taylor r ule values with the actual quarterly federal funds rate averages. How well, in general, does the Taylor rule prediction fit the average federal funds rate? Brie fly explain. See the graph below. The Taylor rule since 2000 has periods in which they are fairly closely correlated, particularly from 2000 t o 2002. However, there are significant gaps in other times, or periods in whic h they do not seem to move together, such as the period from 2002 to 2006. Fro m 2008 onward, there are significant differences between the two, particular ly the period late in 2008 through 2010, in which the Taylor rule predicts the federal funds rate should be negative by as much as almost –4%, which is not pos sible. It also predicted a significant rise in the federal funds rate in 2011, which did not materialize, and generally speaking, the post-crisi s Taylor rule has significantly overprescribed the actual fed funds rate. The coron avirus pandemic period beginning in 2020 created sharp declines in the act ual fed funds rate and Taylor rule implied rate. c. Based on the results from the 2008–2009 period, exp lain the limitations of the Taylor rule as a formal policy tool. How do these l imitations help explain the use of nonconventional monetary policy during this peri od? Since the Federal funds rate was at the effective l ower bound during that time, conventional monetary policy through adjustments in the federal funds rate was not possible, and highlights a limitation of the Ta ylor rule: under ‟normal” conditions the Taylor rule provides a good approxim ation to appropriate federal funds rate policy. However in extreme situations su ch as the financial crisis period and the coronavirus pandemic period, the Tay lor rule is less useful, since other (nonconventional) monetary policy tools are n eeded to achieve stimulus. d. Suppose Congress changes the Fed’s mandate to a hie rarchical one in which inflation stabilization takes priority over output stabilization. In this context, recalculate the predicted Taylor rule value for eac h quarter since 2000, assuming that the weight on inflation stabilization is ¾ and the weight on output stabilization is ¼. Create a graph showing the Tayl or rule prediction calculated in part (a), the prediction using new “hierarchical” Taylor rule, and the fed funds rate. How, if at all, does changing the mandate cha nge the predicted policy paths? How would the fed funds rate be affected by a hierarchical mandate? Briefly explain. See the graph below. For the most part, the baselin e Taylor rule and the hierarchical Taylor rule predict nearly the same fe deral funds paths. The only significant deviations are from 2008 to 2014, where the hierarchical version predicts a significantly higher federal funds rate due to the inflation spike during that time. And from about 2010 to 2014, it implied a federal funds rate around 2%, which is much higher than during that time and what the baseline rule predicts, and the actual fed funds rate was. For th e most recent period of 2020:Q2, under such a hierarchical Taylor rule, the federal funds rate would be predicted to be about –1.1%, much lower than the current 0.06%. e. Assume again equal weights of ½ on inflation and ou tput stabilization, and suppose instead that beginning after the end of 200 8, the equilibrium real fed funds rate declines by 0.05 each quarter (i.e., 200 9:Q1 is 1.95, then 1.90, etc.), and once it reaches zero, it remains at zero therea fter. How does it affect the prescribed fed funds rate? Why might this be import ant for policymakers to take into consideration? A decline in the equilibrium real fed funds rate ha s the effect of reducing the implied Taylor rule fed funds rate lower. In fact, under this policy rule, it would have implied the fed funds rate to be negative duri ng 2015, which also coincided with a period of low inflation. Of all three of the variations, the declining equilibrium real rate rule is the closest to the ac tual path of the fed funds rate since the financial crisis period. This may help ex plain why the actual path of the fed funds rate was lower than standard Taylor rules would imply. Moreover, if the real equilibrium fed funds rate did decline, but wa s not taken into account (for instance, by using the baseline rule in part (a)), this would imply that monetary policy would be overly contractionary. The graph be low shows the distinction between the baseline Taylor rule and the declining natural rate Taylor rule. -4 -2 02468 2000-01-01 2001-02-01 2002-03-01 2003-04-01 2004-05-01 2005-06-01 2006-07-01 2007-08-01 2008-09-01 2009-10-01 2010-11-01 2011-12-01 2013-01-01 2014-02-01 2015-03-01 2016-04-01 2017-05-01 2018-06-01 2019-07-01 Implied and Actual Fed Funds Rate Taylor Rules - Baseline vs. Hierarchical Baseline Taylor Rule Hierarchical Taylor Rule Federal Funds Rate -6 -4 -2 02468 2000-01-01 2001-03-01 2002-05-01 2003-07-01 2004-09-01 2005-11-01 2007-01-01 2008-03-01 2009-05-01 2010-07-01 2011-09-01 2012-11-01 2014-01-01 2015-03-01 2016-05-01 2017-07-01 2018-09-01 2019-11-01 Implied and Actual Fed Funds Rate Taylor Rules - Baseline vs. Declining Natural Rate Baseline Taylor Rule Declining Natural Rate Taylor Rule Federal Funds Rate 1 Copyright©2022PearsonEducation,Ltd.The Economics ofMoney,BankingandFinancial Markets,13e (Mishkin),Global Edition Chapter 20 QuantityTheory,Inflation and the Demand for Money 20.1 QuantityTheoryofMoney"
multiple_choice,1,Thequantitytheoryofmoneyisatheoryofhow,themoneysupplyisdetermined.,interestratesaredetermined.,thenominalvalueofaggregateincomeisdetermined.,therealvalueofaggregateincomeisdetermined.,C,
multiple_choice,2,"Becausethequantitytheoryofmoneytellsushowmuchmoneyisheldforagivenamountof aggregateincome,itisalsoatheoryof",interest-ratedetermination.,thedemandformoney.,exchange-ratedetermination.,thedemandforassets.,B,
multiple_choice,3,Theaveragenumberoftimesthatadollarisspentinbuyingthetotalamountoffinalgoods andservicesproducedduringagiventimeperiodisknownas,grossnationalproduct.,thespendingmultiplier.,themoneymultiplier.,velocity.,D,
multiple_choice,4,Thevelocityofmoneyis,theaveragenumberoftimesthatadollarisspentinbuyingthetotalamountoffinalgoods andservices.,theratioofthemoneystocktohigh-poweredmoney.,theratioofthemoneystocktointerestrates.,theaveragenumberoftimesadollarisspentinbuyingfinancialassets.,A,
multiple_choice,6,"Ifthemoneysupplyis$600andnominalincomeis$3,000,thevelocityofmoneyis",1/50.,1/5.,5.,50.,C,
multiple_choice,7,"Ifthemoneysupplyis$500andnominalincomeis$4,000,thevelocityofmoneyis",1/20.,1/8.,8.,20.,C,
multiple_choice,8,"Ifthemoneysupplyis$600andnominalincomeis$3,600,thevelocityofmoneyis",1/60.,1/6.,6.,60.,C,
multiple_choice,9,"IfnominalGDPis$10trillion,andthemoneysupplyis$2trillion,velocityis",0.2.,5.,10.,20.,B,
multiple_choice,11,"IfnominalGDPis$10trillion,andvelocityis10,themoneysupplyis",$1trillion.,$5trillion.,$10trillion.,$100trillion.,A,
