type,question_number,question,option_A,option_B,option_C,option_D,correct_answer
multiple_choice,1,Ngân hàng đầu tiên của Hoa Kỳ,đã bị giải tán vào năm 1811 khi điều lệ của nó không được gia hạn.,đã bị phủ quyết việc gia hạn hiến chương vào năm 1832.,là nền tảng trong việc giúp các Chính phủ Liên bang tài trợ cho Chiến tranh năm 1812.,Không có điều nào ở trên.,A
multiple_choice,2,Ngân hàng thứ hai của Hoa Kỳ,đã bị giải tán vào năm 1811 khi điều lệ của nó không được gia hạn.,đã bị phủ quyết việc gia hạn hiến chương vào năm 1832.,được coi là nguyên nhân chính của sự hoảng loạn Ban K năm 1907.,Không có điều nào ở trên.,B
multiple_choice,3,"Nỗi sợ hãi của công chúng về quyền lực tập trung và sự phân tán lợi ích tiền bạc đã dẫn đến sự sụp đổ của hai thử nghiệm đầu tiên trong ngân hàng trung ương, còn được gọi là",Ngân hàng đầu tiên của Hoa Kỳ và Ngân hàng Seco nd của Hoa Kỳ.,Ngân hàng đầu tiên của Hoa Kỳ và Ngân hàng Cent ral của Hoa Kỳ.,Ngân hàng Trung ương thứ nhất của Hoa Kỳ và Ngân hàng Trung ương thứ hai của Hoa Kỳ.,Ngân hàng thứ nhất của Bắc Mỹ và Ngân hàng B thứ hai của Bắc Mỹ.,A
multiple_choice,4,Cuộc khủng hoảng tài chính năm 1907 dẫn đến sự sụp đổ của ngân hàng và tổn thất đáng kể cho người gửi tiền đến mức công chúng Mỹ cuối cùng đã bị thuyết phục rằng,Ngân hàng thứ nhất của Hoa Kỳ đã thất bại trong việc phục vụ như một người cho vay cuối cùng.,Ngân hàng thứ hai của Hoa Kỳ đã thất bại trong vai trò là người cho vay cuối cùng.,Hệ thống Dự trữ Liên bang đã thất bại trong việc phục vụ một người cho vay cuối cùng.,Một ngân hàng trung ương là cần thiết để ngăn chặn Pani CS trong tương lai.,D
multiple_choice,5,Điều làm cho Cục Dự trữ Liên bang trở nên độc đáo so với các ngân hàng trung ương khác trên thế giới là,cấu trúc tập trung.,cấu trúc phi tập trung.,chức năng quy định.,chức năng chính sách tiền tệ.,B
multiple_choice,1,Trường hợp nào sau đây KHÔNG phải là thực thể của Hệ thống Dự trữ F?,Ngân hàng Dự trữ Liên bang,Kiểm soát tiền tệ,Hội đồng Thống đốc,Ủy ban Thị trường Mở Liên bang,B
multiple_choice,2,Tổ chức nào sau đây là thực thể của Hệ thống Dự trữ Liên bang?,Bộ trưởng Tài chính Hoa Kỳ,FOMC,Kiểm soát tiền tệ,FDIC,B
multiple_choice,3,"Ba ngân hàng lớn nhất của Cục Dự trữ Liên bang (New Yor, Chicago và San Francisco) cộng lại nắm giữ hơn ________% tài sản của Hệ thống Dự trữ Liên bang.",25,33,50,67,C
multiple_choice,4,Các Ngân hàng Dự trữ Liên bang là ________ viện vì chúng thuộc sở hữu của ________.,bán công khai; các ngân hàng thương mại tư nhân trong khu vực nghiêm ngặt nơi Ngân hàng Dự trữ đặt trụ sở,công cộng; ngân hàng thương mại tư nhân trên địa bàn huyện nơi Ngân hàng Dự trữ đặt trụ sở,bán công khai; Hội đồng quản trị,công cộng; Hội đồng quản trị,A
multiple_choice,5,"Mỗi ngân hàng Dự trữ Liên bang có chín giám đốc. Trong số này, ________ được bổ nhiệm bởi các ngân hàng thành viên và ________ được bổ nhiệm bởi Hội đồng quản trị của Go vernors.",Ba; Sáu,Bốn; Năm,Năm; Bốn,Sáu; Ba,D
